"id","datetime","store","weekday","sales","products_sold","clientes_that_bought","half_hour","year","month","dia"
347,2020-03-31 19:00:00,274,tuesday,1079,242,13,38,2020,3,31
348,2020-03-31 19:30:00,274,tuesday,776,161,16,39,2020,3,31
349,2020-03-31 20:00:00,274,tuesday,1569,304,14,40,2020,3,31
350,2020-03-31 20:30:00,274,tuesday,934,215,10,41,2020,3,31
351,2020-04-01 08:30:00,274,wednesday,663,126,23,17,2020,4,1
352,2020-04-01 09:00:00,274,wednesday,1103,225,19,18,2020,4,1
353,2020-04-01 09:30:00,274,wednesday,290,65,13,19,2020,4,1
354,2020-04-01 10:00:00,274,wednesday,674,154,14,20,2020,4,1
355,2020-04-01 10:30:00,274,wednesday,640,170,27,21,2020,4,1
356,2020-04-01 11:00:00,274,wednesday,1189,224,28,22,2020,4,1
357,2020-04-01 11:30:00,274,wednesday,1048,207,25,23,2020,4,1
358,2020-04-01 12:00:00,274,wednesday,1182,288,37,24,2020,4,1
359,2020-04-01 12:30:00,274,wednesday,909,231,37,25,2020,4,1
360,2020-04-01 13:00:00,274,wednesday,916,265,25,26,2020,4,1
361,2020-04-01 13:30:00,274,wednesday,511,125,21,27,2020,4,1
362,2020-04-01 14:00:00,274,wednesday,929,245,20,28,2020,4,1
363,2020-04-01 14:30:00,274,wednesday,615,117,15,29,2020,4,1
364,2020-04-01 15:00:00,274,wednesday,672,143,19,30,2020,4,1
365,2020-04-01 15:30:00,274,wednesday,604,126,12,31,2020,4,1
366,2020-04-01 16:00:00,274,wednesday,1592,351,19,32,2020,4,1
367,2020-04-01 16:30:00,274,wednesday,1310,256,19,33,2020,4,1
368,2020-04-01 17:00:00,274,wednesday,1252,265,20,34,2020,4,1
369,2020-04-01 17:30:00,274,wednesday,1428,332,21,35,2020,4,1
370,2020-04-01 18:00:00,274,wednesday,1385,312,21,36,2020,4,1
371,2020-04-01 18:30:00,274,wednesday,1709,330,24,37,2020,4,1
372,2020-04-01 19:00:00,274,wednesday,1619,370,16,38,2020,4,1
