,ds,y
30104,2015-01-17 18:30:00,15.0
30105,2015-01-17 18:45:00,10.0
29984,2015-01-17 19:00:00,7.0
30107,2015-01-17 19:15:00,14.0
30108,2015-01-17 19:30:00,11.0
30109,2015-01-17 19:45:00,11.0
29985,2015-01-17 20:00:00,9.0
311,2015-01-17 20:15:00,5.0
312,2015-01-17 20:30:00,11.0
30113,2015-01-17 20:45:00,9.0
29986,2015-01-17 21:00:00,4.0
30115,2015-01-17 21:15:00,12.0
30116,2015-01-17 21:30:00,2.0
29987,2015-01-17 22:00:00,8.0
29988,2015-01-17 23:00:00,4.0
30020,2015-01-18 18:00:00,6.0
30021,2015-01-18 19:00:00,11.0
30022,2015-01-18 20:00:00,8.0
30023,2015-01-18 21:00:00,8.0
30024,2015-01-18 22:00:00,5.0
30025,2015-01-18 23:00:00,8.0
30120,2015-01-19 10:00:00,6.0
30121,2015-01-19 10:15:00,8.0
30122,2015-01-19 10:30:00,12.0
30123,2015-01-19 10:45:00,10.0
30124,2015-01-19 11:00:00,6.0
30125,2015-01-19 11:15:00,9.0
317,2015-01-19 11:30:00,3.0
318,2015-01-19 11:45:00,9.0
30128,2015-01-19 12:00:00,15.0
30129,2015-01-19 12:15:00,16.0
30130,2015-01-19 12:30:00,22.0
319,2015-01-19 12:45:00,8.0
30132,2015-01-19 13:00:00,13.0
320,2015-01-19 13:15:00,14.0
321,2015-01-19 13:30:00,4.0
322,2015-01-19 13:45:00,8.0
323,2015-01-19 14:00:00,17.0
324,2015-01-19 14:15:00,16.0
325,2015-01-19 14:30:00,6.0
30138,2015-01-19 14:45:00,12.0
30139,2015-01-19 15:00:00,12.0
30140,2015-01-19 15:15:00,7.0
30141,2015-01-19 15:30:00,12.0
30142,2015-01-19 15:45:00,9.0
30143,2015-01-19 16:00:00,9.0
30144,2015-01-19 16:15:00,12.0
30145,2015-01-19 16:30:00,9.0
30146,2015-01-19 16:45:00,8.0
30147,2015-01-19 17:00:00,8.0
30148,2015-01-19 17:15:00,8.0
30149,2015-01-19 17:30:00,9.0
30150,2015-01-19 17:45:00,6.0
30065,2015-01-19 18:00:00,6.0
30152,2015-01-19 18:15:00,10.0
326,2015-01-19 18:30:00,4.0
30154,2015-01-19 18:45:00,11.0
30066,2015-01-19 19:00:00,5.0
30156,2015-01-19 19:15:00,13.0
327,2015-01-19 19:30:00,9.0
30158,2015-01-19 19:45:00,14.0
328,2015-01-19 20:00:00,5.0
30160,2015-01-19 20:15:00,16.0
329,2015-01-19 20:30:00,3.0
330,2015-01-19 20:45:00,1.0
30068,2015-01-19 21:00:00,7.0
30164,2015-01-19 21:15:00,12.0
30165,2015-01-19 21:30:00,1.0
30069,2015-01-19 22:00:00,3.0
30070,2015-01-19 23:00:00,4.0
30172,2015-01-20 09:00:00,9.0
30173,2015-01-20 09:15:00,12.0
30174,2015-01-20 09:30:00,8.0
30175,2015-01-20 09:45:00,9.0
30176,2015-01-20 10:00:00,6.0
30177,2015-01-20 10:15:00,9.0
30178,2015-01-20 10:30:00,9.0
30179,2015-01-20 10:45:00,7.0
30180,2015-01-20 11:00:00,11.0
30181,2015-01-20 11:15:00,9.0
30182,2015-01-20 11:30:00,13.0
331,2015-01-20 11:45:00,11.0
332,2015-01-20 12:00:00,4.0
333,2015-01-20 12:15:00,4.0
334,2015-01-20 12:30:00,8.0
335,2015-01-20 12:45:00,5.0
336,2015-01-20 13:00:00,2.0
337,2015-01-20 13:15:00,8.0
338,2015-01-20 13:30:00,8.0
339,2015-01-20 13:45:00,7.0
340,2015-01-20 14:00:00,10.0
341,2015-01-20 14:15:00,20.0
342,2015-01-20 14:30:00,6.0
30194,2015-01-20 14:45:00,14.0
30195,2015-01-20 15:00:00,8.0
30196,2015-01-20 15:15:00,11.0
30197,2015-01-20 15:30:00,10.0
30198,2015-01-20 15:45:00,10.0
30199,2015-01-20 16:00:00,10.0
30200,2015-01-20 16:15:00,6.0
30201,2015-01-20 16:30:00,1.0
30202,2015-01-20 16:45:00,3.0
30203,2015-01-20 17:00:00,9.0
343,2015-01-20 17:15:00,1.0
344,2015-01-20 17:30:00,11.0
345,2015-01-20 17:45:00,12.0
313,2015-01-20 18:00:00,4.0
347,2015-01-20 18:15:00,1.0
348,2015-01-20 18:30:00,11.0
349,2015-01-20 18:45:00,8.0
314,2015-01-20 19:00:00,4.0
351,2015-01-20 19:15:00,14.0
352,2015-01-20 19:30:00,12.0
353,2015-01-20 19:45:00,9.0
315,2015-01-20 20:00:00,6.0
355,2015-01-20 20:15:00,17.0
356,2015-01-20 20:30:00,10.0
357,2015-01-20 20:45:00,12.0
316,2015-01-20 21:00:00,7.0
