datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day,halfhour
2020-05-12 18:00:00,290,Tuesday,2169.6699,524,33,2020,5,12,36
2020-05-12 18:30:00,290,Tuesday,1770.48,466,34,2020,5,12,37
2020-05-12 19:00:00,290,Tuesday,1281.86,335,33,2020,5,12,38
2020-05-12 19:30:00,290,Tuesday,803.9299900000003,175,17,2020,5,12,39
2020-05-12 20:00:00,290,Tuesday,727.26001,186,15,2020,5,12,40
2020-05-12 20:30:00,290,Tuesday,451.34,100,14,2020,5,12,41
2020-05-13 08:00:00,290,Wednesday,177.5,137,4,2020,5,13,16
2020-05-13 08:30:00,290,Wednesday,189.0,56,12,2020,5,13,17
2020-05-13 09:00:00,290,Wednesday,933.7000099999999,230,16,2020,5,13,18
2020-05-13 09:30:00,290,Wednesday,475.16,101,16,2020,5,13,19
2020-05-13 10:00:00,290,Wednesday,1100.61,278,24,2020,5,13,20
2020-05-13 10:30:00,290,Wednesday,828.40997,227,17,2020,5,13,21
2020-05-13 11:00:00,290,Wednesday,1253.4399,319,24,2020,5,13,22
2020-05-13 11:30:00,290,Wednesday,1043.8,304,24,2020,5,13,23
2020-05-13 12:00:00,290,Wednesday,349.5,88,10,2020,5,13,24
2020-05-13 12:30:00,290,Wednesday,1963.53,538,21,2020,5,13,25
2020-05-13 13:00:00,290,Wednesday,1339.1,354,30,2020,5,13,26
2020-05-13 13:30:00,290,Wednesday,1255.17,329,39,2020,5,13,27
2020-05-13 14:00:00,290,Wednesday,1980.15,512,31,2020,5,13,28
2020-05-13 14:30:00,290,Wednesday,1114.22,352,29,2020,5,13,29
2020-05-13 15:00:00,290,Wednesday,1083.88,248,26,2020,5,13,30
2020-05-13 15:30:00,290,Wednesday,929.8499800000001,285,24,2020,5,13,31
2020-05-13 16:00:00,290,Wednesday,1101.37,306,20,2020,5,13,32
2020-05-13 16:30:00,290,Wednesday,2185.5901,513,34,2020,5,13,33
2020-05-13 17:00:00,290,Wednesday,1407.04,371,31,2020,5,13,34
2020-05-13 17:30:00,290,Wednesday,2091.4199,507,25,2020,5,13,35
2020-05-13 18:00:00,290,Wednesday,1164.62,247,21,2020,5,13,36
2020-05-13 18:30:00,290,Wednesday,1135.39,275,28,2020,5,13,37
2020-05-13 19:00:00,290,Wednesday,1934.58,545,30,2020,5,13,38
2020-05-13 19:30:00,290,Wednesday,1074.02,264,20,2020,5,13,39
2020-05-13 20:00:00,290,Wednesday,629.4500099999998,178,11,2020,5,13,40
2020-05-13 20:30:00,290,Wednesday,394.73001,96,10,2020,5,13,41
2020-05-14 08:00:00,290,Thursday,252.23,65,7,2020,5,14,16
2020-05-14 08:30:00,290,Thursday,490.20999000000006,144,11,2020,5,14,17
2020-05-14 09:00:00,290,Thursday,809.53003,218,19,2020,5,14,18
2020-05-14 09:30:00,290,Thursday,934.85999,240,14,2020,5,14,19
2020-05-14 10:00:00,290,Thursday,1055.02,255,19,2020,5,14,20
2020-05-14 10:30:00,290,Thursday,2445.26,588,39,2020,5,14,21
2020-05-14 11:00:00,290,Thursday,1685.84,389,25,2020,5,14,22
2020-05-14 11:30:00,290,Thursday,2274.8999,635,33,2020,5,14,23
2020-05-14 12:00:00,290,Thursday,1737.9399,414,44,2020,5,14,24
2020-05-14 12:30:00,290,Thursday,1479.4399,415,26,2020,5,14,25
2020-05-14 13:00:00,290,Thursday,2210.74,558,39,2020,5,14,26
2020-05-14 13:30:00,290,Thursday,1797.27,403,37,2020,5,14,27
2020-05-14 14:00:00,290,Thursday,2021.74,443,42,2020,5,14,28
2020-05-14 14:30:00,290,Thursday,2106.45,497,37,2020,5,14,29
2020-05-14 15:00:00,290,Thursday,2625.3201,673,53,2020,5,14,30
2020-05-14 15:30:00,290,Thursday,2103.46,538,46,2020,5,14,31
2020-05-14 16:00:00,290,Thursday,1163.65,288,24,2020,5,14,32
2020-05-14 16:30:00,290,Thursday,1379.72,370,28,2020,5,14,33
2020-05-14 17:00:00,290,Thursday,2053.1899,492,44,2020,5,14,34
2020-05-14 17:30:00,290,Thursday,2059.5701,439,35,2020,5,14,35
2020-05-14 18:00:00,290,Thursday,2467.3601,557,41,2020,5,14,36
2020-05-14 18:30:00,290,Thursday,2604.45,675,49,2020,5,14,37
2020-05-14 19:00:00,290,Thursday,2955.6499,658,46,2020,5,14,38
2020-05-14 19:30:00,290,Thursday,1367.9399,397,17,2020,5,14,39
2020-05-14 20:00:00,290,Thursday,1302.9301,310,20,2020,5,14,40
2020-05-14 20:30:00,290,Thursday,90.540001,20,7,2020,5,14,41
2020-05-15 08:00:00,290,Friday,190.60001,40,5,2020,5,15,16
2020-05-15 08:30:00,290,Friday,1908.46,266,16,2020,5,15,17
2020-05-15 09:00:00,290,Friday,1840.79,438,18,2020,5,15,18
2020-05-15 09:30:00,290,Friday,868.0999800000003,214,17,2020,5,15,19
2020-05-15 10:00:00,290,Friday,738.6799900000003,196,14,2020,5,15,20
2020-05-15 10:30:00,290,Friday,1666.72,352,28,2020,5,15,21
2020-05-15 11:00:00,290,Friday,1318.78,297,27,2020,5,15,22
2020-05-15 11:30:00,290,Friday,1738.08,429,27,2020,5,15,23
2020-05-15 12:00:00,290,Friday,2325.24,503,38,2020,5,15,24
2020-05-15 12:30:00,290,Friday,2160.1101,482,28,2020,5,15,25
2020-05-15 13:00:00,290,Friday,1808.74,386,41,2020,5,15,26
2020-05-15 13:30:00,290,Friday,3630.71,876,43,2020,5,15,27
2020-05-15 14:00:00,290,Friday,1333.58,362,36,2020,5,15,28
2020-05-15 14:30:00,290,Friday,2500.1201,646,42,2020,5,15,29
2020-05-15 15:00:00,290,Friday,1594.16,463,31,2020,5,15,30
2020-05-15 15:30:00,290,Friday,1603.49,342,36,2020,5,15,31
2020-05-15 16:00:00,290,Friday,2226.54,564,35,2020,5,15,32
